id,organization,competition_name,start_time,end_time
1,Microsoft,CodeMaster Challenge,10:25,12:25
2,Amazon,Hackathon CodeWarriors,11:40,1:40
3,Apple,ByteBrawl Coding Cup,2:10,4:10
4,Facebook,Algorithm Clash,12:55,2:55
5,Netflix,CodeSprint Royale,10:15,12:15
6,HackerRank,Coder's Quest,3:30,5:30
7,Google,DevBattle Royale,1:20,3:20
8,Netflix,HackCodeMania,11:50,1:50
9,Facebook,Algorithmic Rumble,4:45,6:45
10,Google,CodeMaze Challenge,2:05,4:05
11,HackerRank,ByteBlitz Bonanza,10:30,12:30
12,Amazon,CodeCrunch Challenge,1:40,3:40
13,Facebook,HackGenius Championship,12:20,2:20
14,Apple,Algorithmic Showdown,11:15,1:15
15,Microsoft,CodeWarrior's Clash,4:25,6:25
16,Microsoft,Coder's Colosseum,10:05,12:05
17,Google,DevHacker's Showdown,2:30,4:30
18,Apple,HackCodeFrenzy,1:10,3:10
19,HackerRank,Algorithmic Thunderdome,3:50,5:50
20,Google,CodeCombat Challenge,10:25,1:25
