id,competition_name,team_name,points,time_taken
1,Algorithm Clash,Binary Brigade,11,0:35
2,CodeMaster Challenge,Code Commandos,3,1:25
3,HackCodeFrenzy,Data Dazzlers,24,1:52
4,HackCodeMania,Tech Titans,55,1:34
5,Coder's Colosseum,Cyber Crusaders,4,1:25
6,Algorithmic Rumble,Innovation Instigators,51,0:32
7,ByteBlitz Bonanza,Hack Hounds,39,0:51
8,Coder's Colosseum,Pixel Pioneers,21,0:57
9,CodeCombat Challenge,Algorithm Avengers,100,0:43
10,Algorithmic Rumble,Byte Brawlers,76,1:12
11,DevBattle Royale,Code Captains,62,0:44
12,CodeMaster Challenge,Data Daredevils,12,0:40
13,Algorithm Clash,Tech Trojans,61,0:48
14,Coder's Quest,Cyber Savvy,91,1:11
15,CodeCrunch Challenge,Innovation Illuminati,28,1:28
16,DevBattle Royale,Hack Heroes,98,0:40
17,Coder's Colosseum,Digital Dons,41,1:18
18,DevHacker's Showdown,Code Connoisseurs,51,1:18
19,Coder's Quest,Data Dominators,57,0:39
20,Coder's Colosseum,Tech Trailblazers,31,1:51
21,Algorithmic Thunderdome,Pixel Professionals,79,0:39
22,Algorithm Clash,Byte Bandits,76,0:43
23,CodeWarrior's Clash,Innovation Innovators,77,0:47
24,Algorithm Clash,Hack Hammers,97,0:54
25,Algorithmic Thunderdome,Data Defenders,43,1:56
26,Algorithm Clash,Code Crusaders,84,1:09
27,DevHacker's Showdown,Tech Tornadoes,16,0:37
28,CodeWarrior's Clash,Cyber Commandos,32,1:48
29,CodeSprint Royale,Algorithm Architects,86,1:37
30,Algorithmic Rumble,Pixel Pundits,80,0:47
31,ByteBlitz Bonanza,Code Cognoscenti,69,0:36
32,Hackathon CodeWarriors,Data Dynamos,60,1:26
33,DevHacker's Showdown,Innovation Invincibles,97,0:58
34,Coder's Colosseum,Tech Streets,51,1:38
35,ByteBrawl Coding Cup,Diamond Hackers,30,1:09
36,Algorithmic Showdown,Code Commanders,1,1:54
37,DevHacker's Showdown,Data Divas,4,0:33
38,HackGenius Championship,Tech Troopers,74,0:44
